Deutsch,Französisch,Elsässisch,Département,nom_commune,latitude,longitude
Achenheim,Achenheim,Àchene,Unterelsass,Strasbourg,48.57126798,7.767526795
Achenheim,Achenheim,Àchene,Unterelsass,Strasbourg,48.57126798,7.767526795
Achenheim,Achenheim,Àchene,Unterelsass,Strasbourg,48.57126798,7.767526795
Adamsweiler,Adamswiller,Àdàmswiller,Unterelsass,Saverne,48.74022501,7.342062382
Adamsweiler,Adamswiller,Àdàmswiller,Unterelsass,Saverne,48.74022501,7.342062382
Adamsweiler,Adamswiller,Àdàmswiller,Unterelsass,Saverne,48.74022501,7.342062382
Algolsheim,Algolsheim,Àlgelse,Oberelsass,Colmar-Ribeauvillé,,
Allenweiler,Allenwiller,Àllewiller,Unterelsass,Saverne,48.74022501,7.342062382
Allenweiler,Allenwiller,Àllewiller,Unterelsass,Saverne,48.74022501,7.342062382
Allenweiler,Allenwiller,Àllewiller,Unterelsass,Saverne,48.74022501,7.342062382
Altdorf,Altorf,Àldorf,Unterelsass,Molsheim,48.54471962,7.49950013
Alteckendorf,Alteckendorf,Àltackedorf,Unterelsass,Strasbourg,48.57126798,7.767526795
Alteckendorf,Alteckendorf,Àltackedorf,Unterelsass,Strasbourg,48.57126798,7.767526795
Alteckendorf,Alteckendorf,Àltackedorf,Unterelsass,Strasbourg,48.57126798,7.767526795
Altenach,Altenach,Àltenàch,Oberelsass,Altkirch,47.62103365,7.244843296
Altenheim,Altenheim,Àltene,Unterelsass,Saverne,48.74022501,7.342062382
Altenheim,Altenheim,Àltene,Unterelsass,Saverne,48.74022501,7.342062382
Altenheim,Altenheim,Àltene,Unterelsass,Saverne,48.74022501,7.342062382
Altkirch,Altkirch,Àltkìrech,Oberelsass,Altkirch,47.62103365,7.244843296
Altmünsterol,Montreux-Vieux,(*) Àltmìnschtràl,Oberelsass,Altkirch,47.62103365,7.244843296
Altpfirt,Vieux-Ferrette,Àlt-Pfìrt,Oberelsass,Altkirch,47.62103365,7.244843296
Altthann,Vieux-Thann,Àlt-Dànn,Oberelsass,Thann-Guebwiller,,
Altweier,Aubure,Altwihr,Oberelsass,Colmar-Ribeauvillé,,
Altweiler,Altwiller,Àltwiller,Unterelsass,Saverne,48.74022501,7.342062382
Altweiler,Altwiller,Àltwiller,Unterelsass,Saverne,48.74022501,7.342062382
Altweiler,Altwiller,Àltwiller,Unterelsass,Saverne,48.74022501,7.342062382
Ammerschweier,Ammerschwihr,Ammerschwihr,Oberelsass,Ribeauvillé,48.20651392,7.286724683
Ammerzweiler,Ammertzwiller,Àmmerzwìller,Oberelsass,Altkirch,47.62103365,7.244843296
Andlau,Andlau,Àndlöi,Unterelsass,Sélestat-Erstein,,
Andolsheim,Andolsheim,Àndelse,Oberelsass,Colmar-Ribeauvillé,,
Appenweiher,Appenwihr,Àppewihr,Oberelsass,Colmar,48.10994058,7.384686903
Artolsheim,Artolsheim,Àrtelse,Unterelsass,Sélestat-Erstein,,
Arzenheim,Artzenheim,Ààrze,Oberelsass,Colmar,48.10994058,7.384686903
Aschbach,Aschbach,Àschbàch,Unterelsass,Haguenau-Wissembourg,,
Aspach,Aspach,Ààschpi,Oberelsass,Altkirch,47.62103365,7.244843296
Aßweiler,Asswiller,Àsswiller,Unterelsass,Saverne,48.74022501,7.342062382
Aßweiler,Asswiller,Àsswiller,Unterelsass,Saverne,48.74022501,7.342062382
Aßweiler,Asswiller,Àsswiller,Unterelsass,Saverne,48.74022501,7.342062382
Attenschweiler,Attenschwiller,Àtteschwìller,Oberelsass,Mulhouse,47.7491633,7.325700475
Attenschweiler,Attenschwiller,Àtteschwìller,Oberelsass,Mulhouse,47.7491633,7.325700475
Attenschweiler,Attenschwiller,Àtteschwìller,Oberelsass,Mulhouse,47.7491633,7.325700475
Attenschweiler,Attenschwiller,Àtteschwìller,Oberelsass,Mulhouse,47.7491633,7.325700475
Au,Lauw,d Ài,Oberelsass,Thann-Guebwiller,,
Auenheim,Auenheim,Auenem,Unterelsass,Haguenau-Wissembourg,,
Avolsheim,Avolsheim,Àvelse,Unterelsass,Molsheim,48.54471962,7.49950013
Bad Morsbronn,Morsbronn-les-Bains,Morschbrunn,Unterelsass,Haguenau-Wissembourg,,
Bad Niederbronn,Niederbronn-les-Bains,Nìderbrunn,Unterelsass,Haguenau-Wissembourg,,
Balbronn,Balbronn,Bàlwere,Unterelsass,Molsheim,48.54471962,7.49950013
Baldenheim,Baldenheim,Bàldene,Unterelsass,Sélestat-Erstein,,
Baldersheim,Baldersheim,Bàldersche,Oberelsass,Mülhausen,,
Balgau,Balgau,Bàlgäu,Oberelsass,Colmar-Ribeauvillé,,
Ballersdorf,Ballersdorf,Bàllerschdorf,Oberelsass,Altkirch,47.62103365,7.244843296
Balschweiler,Balschwiller,Bàlschwìller,Oberelsass,Altkirch,47.62103365,7.244843296
Balzenheim,Baltzenheim,Bàlze,Oberelsass,Colmar-Ribeauvillé,,
Banzenheim,Bantzenheim,Bànzene,Oberelsass,Mulhouse,47.7491633,7.325700475
Banzenheim,Bantzenheim,Bànzene,Oberelsass,Mulhouse,47.7491633,7.325700475
Banzenheim,Bantzenheim,Bànzene,Oberelsass,Mulhouse,47.7491633,7.325700475
Banzenheim,Bantzenheim,Bànzene,Oberelsass,Mulhouse,47.7491633,7.325700475
Barenbach,Barembach,(*) Bàrebàch,Unterelsass,Molsheim,48.54471962,7.49950013
Bärendorf,Baerendorf,Bäredorf,Unterelsass,Zabern,,
Baronsweiler,Bellemagny,(*) Baretswiller,Oberelsass,Altkirch,47.62103365,7.244843296
Barr,Barr,Bàrr,Unterelsass,Sélestat-Erstein,,
Bartenheim,Bartenheim,Bàrtene,Oberelsass,Mulhouse,47.7491633,7.325700475
Bartenheim,Bartenheim,Bàrtene,Oberelsass,Mulhouse,47.7491633,7.325700475
Bartenheim,Bartenheim,Bàrtene,Oberelsass,Mulhouse,47.7491633,7.325700475
Bartenheim,Bartenheim,Bàrtene,Oberelsass,Mulhouse,47.7491633,7.325700475
Bassenberg,Bassemberg,(*),Unterelsass,Sélestat-Erstein,,
Battenheim,Battenheim,Bàttene,Oberelsass,Mulhouse,47.7491633,7.325700475
Battenheim,Battenheim,Bàttene,Oberelsass,Mulhouse,47.7491633,7.325700475
Battenheim,Battenheim,Bàttene,Oberelsass,Mulhouse,47.7491633,7.325700475
Battenheim,Battenheim,Bàttene,Oberelsass,Mulhouse,47.7491633,7.325700475
Batzendorf,Batzendorf,Bàtzedorf,Unterelsass,Haguenau-Wissembourg,,
Bebelnheim,Beblenheim,Bawle,Oberelsass,Colmar-Ribeauvillé,,
Beinheim,Beinheim,Bänem,Unterelsass,Haguenau-Wissembourg,,
Bendorf,Bendorf,Banderf,Oberelsass,Altkirch,47.62103365,7.244843296
Benfeld,Benfeld,Banfald,Unterelsass,Sélestat-Erstein,,
Bennweier,Bennwihr,Bànnwihr,Oberelsass,Colmar-Ribeauvillé,,
Berenzweiler,Berentzwiller,Barezwiller,Oberelsass,Altkirch,47.62103365,7.244843296
Berg,Berg,Bärich,Unterelsass,Saverne,48.74022501,7.342062382
Berg,Berg,Bärich,Unterelsass,Saverne,48.74022501,7.342062382
Berg,Berg,Bärich,Unterelsass,Saverne,48.74022501,7.342062382
Bergbieten,Bergbieten,Baribiete / Biete,Unterelsass,Molsheim,48.54471962,7.49950013
Bergheim,Bergheim,Barige,Oberelsass,Colmar-Ribeauvillé,,
Bergholz,Bergholtz,Bargholz,Oberelsass,Thann-Guebwiller,,
Bergholz-Zell,Bergholtzzell,Bargholzzàll,Oberelsass,Thann-Guebwiller,,
Berheim-Irmstett,Scharrachbergheim-Irmstett,Barige-ìrmstett,Unterelsass,Molsheim,48.54471962,7.49950013
Bernhardsweiler,Bernardvillé,Batschwiller (ìm Loch),Unterelsass,Sélestat-Erstein,,
Bernhardsweiler,Bernardswiller,Batschwiller,Unterelsass,Sélestat-Erstein,,
Bernolsheim,Bernolsheim,Banze,Unterelsass,Haguenau-Wissembourg,,
Bernweiler,Bernwiller,Barnwiller,Oberelsass,Thann-Guebwiller,,
Berrweiler,Berrwiller,Barrwiller,Oberelsass,Thann-Guebwiller|,,
Berstett,Berstett,Barstett,Unterelsass,Saverne,48.74022501,7.342062382
Berstett,Berstett,Barstett,Unterelsass,Saverne,48.74022501,7.342062382
Berstett,Berstett,Barstett,Unterelsass,Saverne,48.74022501,7.342062382
Berstheim,Berstheim,Barschem,Unterelsass,Haguenau-Wissembourg,,
Betschdorf,Betschdorf,Batschdorf,Unterelsass,Haguenau-Wissembourg,,
Bettendorf,Bettendorf,Batterf,Oberelsass,Altkirch,47.62103365,7.244843296
Bettlach,Bettlach,Bättlàch,Oberelsass,Altkirch,47.62103365,7.244843296
Bettweiler,Bettwiller,Bättwiller,Unterelsass,Saverne,48.74022501,7.342062382
Bettweiler,Bettwiller,Bättwiller,Unterelsass,Saverne,48.74022501,7.342062382
Bettweiler,Bettwiller,Bättwiller,Unterelsass,Saverne,48.74022501,7.342062382
Biblisheim,Biblisheim,Bìwelse,Unterelsass,Haguenau-Wissembourg,,
Biederthal,Biederthal,Bierthel,Oberelsass,Altkirch,47.62103365,7.244843296
Biesheim,Biesheim,Biese,Oberelsass,Colmar-Ribeauvillé,,
Bietlenheim,Bietlenheim,Bietle,Unterelsass,Haguenau-Wissembourg,,
Bilwisheim,Bilwisheim,Bìlse,Unterelsass,Haguenau-Wissembourg,,
Bilzheim,Biltzheim,Bìlze,Oberelsass,Thann-Guebwiller,,
Bindernheim,Bindernheim,Bìndre,Unterelsass,Sélestat-Erstein,,
Birkenwald,Birkenwald,Bìrikewàld,Unterelsass,Saverne,48.74022501,7.342062382
Birkenwald,Birkenwald,Bìrikewàld,Unterelsass,Saverne,48.74022501,7.342062382
Birkenwald,Birkenwald,Bìrikewàld,Unterelsass,Saverne,48.74022501,7.342062382
Bischdorf a.d. Saar,Bischtroff-sur-Sarre,Bìschdroff,Unterelsass,Saverne,48.74022501,7.342062382
Bischdorf a.d. Saar,Bischtroff-sur-Sarre,Bìschdroff,Unterelsass,Saverne,48.74022501,7.342062382
Bischdorf a.d. Saar,Bischtroff-sur-Sarre,Bìschdroff,Unterelsass,Saverne,48.74022501,7.342062382
Bischheim,Bischheim,Bìsche,Unterelsass,Strasbourg,48.57126798,7.767526795
Bischheim,Bischheim,Bìsche,Unterelsass,Strasbourg,48.57126798,7.767526795
Bischheim,Bischheim,Bìsche,Unterelsass,Strasbourg,48.57126798,7.767526795
Bischholz,Bischholtz,Bìscholz,Unterelsass,Saverne,48.74022501,7.342062382
Bischholz,Bischholtz,Bìscholz,Unterelsass,Saverne,48.74022501,7.342062382
Bischholz,Bischholtz,Bìscholz,Unterelsass,Saverne,48.74022501,7.342062382
Bischofsheim im Elsass,Bischoffsheim,Bìsche,Unterelsass,Molsheim,48.54471962,7.49950013
Bischweier,Bischwihr,Bìschwihr,Oberelsass,Colmar-Ribeauvillé,,
Bischweiler,Bischwiller,Bìschwiller,Unterelsass,Haguenau-Wissembourg,,
Bisel,Bisel,Bìsel,Oberelsass,Altkirch,47.62103365,7.244843296
Bissert,Bissert,Bìssert,Unterelsass,Saverne,48.74022501,7.342062382
Bissert,Bissert,Bìssert,Unterelsass,Saverne,48.74022501,7.342062382
Bissert,Bissert,Bìssert,Unterelsass,Saverne,48.74022501,7.342062382
Bitschhofen,Bitschhoffen,Bìtschoffe,Unterelsass,Haguenau-Wissembourg,,
Bitschweiler,Bitschwiller-lès-Thann,Bitschwiller,Oberelsass,Thann-Guebwiller,,
Bläsheim,Blaesheim,Blaase,Unterelsass,Strasbourg,48.57126798,7.767526795
Bläsheim,Blaesheim,Blaase,Unterelsass,Strasbourg,48.57126798,7.767526795
Bläsheim,Blaesheim,Blaase,Unterelsass,Strasbourg,48.57126798,7.767526795
Blen,Plaine,(*),Unterelsass,Molsheim,48.54471962,7.49950013
Bliensbach,Blancherupt,(*),Unterelsass,Molsheim,48.54471962,7.49950013
Blienschweiler,Blienschwiller,Bleschwiller,Unterelsass,Sélestat-Erstein,,
Blodelsheim,Blodelsheim,Blodelse,Oberelsass,Thann-Guebwiller,,
Blotzheim,Blotzheim,Blohze,Oberelsass,Mulhouse,47.7491633,7.325700475
Blotzheim,Blotzheim,Blohze,Oberelsass,Mulhouse,47.7491633,7.325700475
Blotzheim,Blotzheim,Blohze,Oberelsass,Mulhouse,47.7491633,7.325700475
Blotzheim,Blotzheim,Blohze,Oberelsass,Mulhouse,47.7491633,7.325700475
Bollweiler,Bollwiller,Bollwiller,Oberelsass,Thann-Guebwiller,,
Bolsenheim,Bolsenheim,Bolsene,Unterelsass,Sélestat-Erstein,,
Boofzheim,Boofzheim,Bofze,Unterelsass,Sélestat-Erstein,,
Boozheim,Bootzheim,Booze,Unterelsass,Sélestat-Erstein,,
Börsch,Bœrsch,Bersch,Unterelsass,Molsheim,48.54471962,7.49950013
Bösenbiesen,Bœsenbiesen,Biese,Unterelsass,Sélestat-Erstein,,
Bosselshausen,Bosselshausen,Bosselshüse,Unterelsass,Saverne,48.74022501,7.342062382
Bosselshausen,Bosselshausen,Bosselshüse,Unterelsass,Saverne,48.74022501,7.342062382
Bosselshausen,Bosselshausen,Bosselshüse,Unterelsass,Saverne,48.74022501,7.342062382
Bossendorf,Bossendorf,Bossedorf,Unterelsass,Saverne,48.74022501,7.342062382
Bossendorf,Bossendorf,Bossedorf,Unterelsass,Saverne,48.74022501,7.342062382
Bossendorf,Bossendorf,Bossedorf,Unterelsass,Saverne,48.74022501,7.342062382
Breitenau,Breitenau,(*) Braitnöi,Unterelsass,Sélestat-Erstein,,
Breitenbach,Breitenbach-Haut-Rhin,Bräitebàch,Oberelsass,Colmar-Ribeauvillé,,
Breitenbach,Breitenbach,Braitebàch,Unterelsass,Sélestat-Erstein,,
Bretten,Bretten,Bratte,Oberelsass,Altkirch,47.62103365,7.244843296
Breuschwickersheim,Breuschwickersheim,Wickersche,Unterelsass,Strasbourg,48.57126798,7.767526795
Breuschwickersheim,Breuschwickersheim,Wickersche,Unterelsass,Strasbourg,48.57126798,7.767526795
Breuschwickersheim,Breuschwickersheim,Wickersche,Unterelsass,Strasbourg,48.57126798,7.767526795
Brinkheim,Brinckheim,Brìnke,Oberelsass,Mulhouse,47.7491633,7.325700475
Brinkheim,Brinckheim,Brìnke,Oberelsass,Mulhouse,47.7491633,7.325700475
Brinkheim,Brinckheim,Brìnke,Oberelsass,Mulhouse,47.7491633,7.325700475
Brinkheim,Brinckheim,Brìnke,Oberelsass,Mulhouse,47.7491633,7.325700475
Brubach,Bruebach,Bruebi,Oberelsass,Mulhouse,47.7491633,7.325700475
Brubach,Bruebach,Bruebi,Oberelsass,Mulhouse,47.7491633,7.325700475
Brubach,Bruebach,Bruebi,Oberelsass,Mulhouse,47.7491633,7.325700475
Brubach,Bruebach,Bruebi,Oberelsass,Mulhouse,47.7491633,7.325700475
Brückensweiler,Bréchaumont,Bruckedswiller,Oberelsass,Altkirch,47.62103365,7.244843296
Brumath,Brumath,Bröömt,Unterelsass,Haguenau-Wissembourg,,
Brunstatt,Brunstatt,Brunscht,Oberelsass,Mulhouse,47.7491633,7.325700475
Brunstatt,Brunstatt,Brunscht,Oberelsass,Mulhouse,47.7491633,7.325700475
Brunstatt,Brunstatt,Brunscht,Oberelsass,Mulhouse,47.7491633,7.325700475
Brunstatt,Brunstatt,Brunscht,Oberelsass,Mulhouse,47.7491633,7.325700475
Buchsweiler,Bouxwiller,Busswiller,Oberelsass,Altkirch,47.62103365,7.244843296
Buchsweiler,Bouxwiller,Busswiller,Unterelsass,Saverne,48.74022501,7.342062382
Buchsweiler,Bouxwiller,Busswiller,Unterelsass,Saverne,48.74022501,7.342062382
Buchsweiler,Bouxwiller,Busswiller,Unterelsass,Saverne,48.74022501,7.342062382
Bühl,Buhl,Beel,Oberelsass,Thann-Guebwiller,,
Bühl,Buhl,Bihl,Unterelsass,Haguenau-Wissembourg,,
Burbach,Burbach,Burbàch,Unterelsass,Saverne,48.74022501,7.342062382
Burbach,Burbach,Burbàch,Unterelsass,Saverne,48.74022501,7.342062382
Burbach,Burbach,Burbàch,Unterelsass,Saverne,48.74022501,7.342062382
Burg-Breusch / Breuscheburg,Bourg-Bruche,(*),Unterelsass,Molsheim,48.54471962,7.49950013
Burgfelden,Bourgfelden,?,Oberelsass,Mulhouse,47.7491633,7.325700475
Burgfelden,Bourgfelden,?,Oberelsass,Mulhouse,47.7491633,7.325700475
Burgfelden,Bourgfelden,?,Oberelsass,Mulhouse,47.7491633,7.325700475
Burgfelden,Bourgfelden,?,Oberelsass,Mulhouse,47.7491633,7.325700475
Burgheim,Bourgheim,Burige,Unterelsass,Sélestat-Erstein,,
Burzweiler,Bourtzwiller,,Oberelsass,Mulhouse,47.7491633,7.325700475
Burzweiler,Bourtzwiller,,Oberelsass,Mulhouse,47.7491633,7.325700475
Burzweiler,Bourtzwiller,,Oberelsass,Mulhouse,47.7491633,7.325700475
Burzweiler,Bourtzwiller,,Oberelsass,Mulhouse,47.7491633,7.325700475
Buschweiler,Buschwiller,Büschwìller,Oberelsass,Mulhouse,47.7491633,7.325700475
Buschweiler,Buschwiller,Büschwìller,Oberelsass,Mulhouse,47.7491633,7.325700475
Buschweiler,Buschwiller,Büschwìller,Oberelsass,Mulhouse,47.7491633,7.325700475
Buschweiler,Buschwiller,Büschwìller,Oberelsass,Mulhouse,47.7491633,7.325700475
Büst,Bust,Bìscht,Unterelsass,Saverne,48.74022501,7.342062382
Büst,Bust,Bìscht,Unterelsass,Saverne,48.74022501,7.342062382
Büst,Bust,Bìscht,Unterelsass,Saverne,48.74022501,7.342062382
Büsweiler,Buswiller,Bueswiller,Unterelsass,Saverne,48.74022501,7.342062382
Büsweiler,Buswiller,Bueswiller,Unterelsass,Saverne,48.74022501,7.342062382
Büsweiler,Buswiller,Bueswiller,Unterelsass,Saverne,48.74022501,7.342062382
Bütten,Butten,Bìtte,Unterelsass,Saverne,48.74022501,7.342062382
Bütten,Butten,Bìtte,Unterelsass,Saverne,48.74022501,7.342062382
Bütten,Butten,Bìtte,Unterelsass,Saverne,48.74022501,7.342062382
Bütweiler,Buethwiller,Büethwiller,Oberelsass,Altkirch,47.62103365,7.244843296
Colmar,Colmar,Colmer,Oberelsass,Colmar-Ribeauvillé,,
Dachstein,Dachstein,Dàchstaan,Unterelsass,Molsheim,48.54471962,7.49950013
Dahlenheim,Dahlenheim,Dàhle,Unterelsass,Molsheim,48.54471962,7.49950013
Dalhunden,Dalhunden,Dalhunde,Unterelsass,Haguenau-Wissembourg,,
Dambach,Dambach,Dàmbàch,Unterelsass,Haguenau-Wissembourg,,
Dambach,Dambach-la-Ville,Dàmbàch,Unterelsass,Schlettstadt-Erstein,,
Dammerkirch,Dannemarie,Dàmmerkìlch,Oberelsass,Altkirch,47.62103365,7.244843296
Dangolsheim,Dangolsheim,Dàngelse,Unterelsass,Molsheim,48.54471962,7.49950013
Daubensand,Daubensand,Düwesànd,Unterelsass,Schlettstadt-Erstein,,
Dauendorf,Dauendorf,Dàiedorf / Dauedorf,Unterelsass,Haguenau-Wissembourg,,
Dehlingen,Dehlingen,Dählinge,Unterelsass,Zabern,,
Dessenheim,Dessenheim,Dassene,Oberelsass,Colmar-Ribeauvillé,,
Dettweiler,Dettwiller,Dettwiller,Unterelsass,Zabern,,
Deutsch-Rumbach,Rombach-le-Franc,(*) Rumbach,Oberelsass,Colmar-Ribeauvillé,,
Didenheim,Didenheim,Dìdene,Oberelsass,Mülhausen,,
Diebolsheim,Diebolsheim,Dìwelse,Unterelsass,Schlettstadt-Erstein,,
Diedendorf,Diedendorf,Dììdedorf,Unterelsass,Zabern,,
Diedolshausen,Le Bonhomme,(*) Bonom,Oberelsass,Colmar-Ribeauvillé,,
Diefenbach bei Wörth,Dieffenbach-lès-Wœrth,Diefebàch,Unterelsass,Haguenau-Wissembourg,,
Diefenbach im Tal,Dieffenbach-au-Val,Diefebach,Unterelsass,Schlettstadt-Erstein,,
Diefenthal,Dieffenthal,Diefetal,Unterelsass,Schlettstadt-Erstein,,
Diefmatten,Diefmatten,Diefmàtte,Oberelsass,Altkirch,47.62103365,7.244843296
Diemeringen,Diemeringen,Dììmeringe,Unterelsass,Zabern,,
Dietweiler,Dietwiller,Dietwiller,Oberelsass,Mülhausen,,
Dimbstal,Dimbsthal,Dìmschtel,Unterelsass,Zabern,,
Dingsheim,Dingsheim,Dìngse,Unterelsass,Straßburg-Land,,
Dinsheim,Dinsheim-sur-Bruche,Dìnse,Unterelsass,Molsheim,48.54471962,7.49950013
Dollern,Dolleren,Dollere,Oberelsass,Thann,47.81391113,7.095024572
Domfessel,Domfessel,Domfassel,Unterelsass,Zabern,,
Donnenheim,Donnenheim,Dunnene,Unterelsass,Straßburg-Land,,
Dorlisheim,Dorlisheim,Dorelse,Unterelsass,Molsheim,48.54471962,7.49950013
Dossenheim,Dossenheim-sur-Zinsel,Duusne,Unterelsass,Zabern,,
Dossenheim-Kochersberg,Dossenheim-Kochersberg,Doosne,Unterelsass,Straßburg-Land,,
Drachenbronn-Birlenbach,Drachenbronn-Birlenbach,Dràchebrunn-Bìrlebach,Unterelsass,Haguenau-Wissembourg,,
Dreiähren,Les Trois-Épis,,Oberelsass,,,
